ios,junos
<interface> ip ospf demand-circuit,set area <area_id> interface <interface_name> demand-circuit
area <address> virtual-link <address> authentication message-digest,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
area <address>,set area <area_id>
area <address> filter-list prefix <string> out,set area <area_id> inter-area-prefix-export <value>
area <address> nssa translate type7 suppress-fa,set area <area_id> nssa no-summaries
area <0-4294967295>,set area <area_id>
area <address> virtual-link <address> dead-interval <1-8192>,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
area <address> stub,set area <area_id> stub
area <address> authentication,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
<interface> ip ospf mtu-ignore,set area <area_id> interface <interface_name> disable
area <address> virtual-link <address> hello-interval <1-8192>,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
area <address> authentication message-digest,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
area <address> range <address> <address>,set area <area_id> area-range <area_range>
area <address> virtual-link <address> authentication,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
area <address> range <address> <address> advertise cost <0-16777215>,set area <area_id> nssa area-range
area <address> range <address> <address> advertise,set area <area_id> area-range <area_range>
area <address> virtual-link <address> retransmit-interval <1-8192>,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
<interface> ip ospf cost,set area <area_id> interface <interface_name> metric <metric>
<interface> ip ospf database-filter,set area <area_id> interface <interface_name> dynamic-neighbors
area <address> default-cost <0-16777215>,set area <area_id> nssa default-lsa default-metric <default-metric>
passive-interface <interface>,set area <area_id> interface <interface_name> passive
area <address> virtual-link <address> authentication null,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
<interface> ip ospf bfd,set area <area_id> interface <interface_name> dynamic-neighbors
area <address> stub no-summary,set area <area_id> stub no-summaries
<interface> ip ospf message-digest-key <1-255>,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
area <address> virtual-link <address> transmit-delay <1-8192>,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
<interface> ip ospf dead-interval,set area <area_id> interface <interface_name> poll-interval <poll-interval>
area <address> nssa,set area <area_id> nssa
<interface> ip ospf <1-65535> area <address>,set area <area_id> interface
<interface> ip ospf flood-reduction,set area <area_id> interface <interface_name> dynamic-neighbors
area <address> filter-list prefix <string> in,set area <area_id> inter-area-prefix-import <value>
area <address> nssa no-summary,set area <area_id> nssa no-summaries
router-id,set routing-options router-id <router-id>
area <address> nssa translate type7 suppress-fa default-information-originate,set area <area_id> nssa no-summaries
area <address> virtual-link <address> message-digest-key <1-255> md5 <0-7> <string>,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
passive-interface default,set area <area_id> interface <interface_name> passive
area <address> nssa translate type7 suppress-fa no-redistribution,set area <area_id> nssa no-summaries
area <address> range <address> <address> not-advertise,set area <area_id> nssa area-range
area <address> sham-link <address> <address>,set area <area_id> sham-link-remote <address>
area <address> nssa translate type7 suppress-fa no-summary,set area <area_id> nssa no-summaries
<interface> ip ospf <1-65535> area <0-4294967295>,set area <area_id> interface
<interface> ip ospf authentication-key,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
<interface> ip ospf network,set area <area_id> interface <interface_name> dynamic-neighbors
<interface> ip ospf prefix-suppression,set area <area_id> inter-area-prefix-export <value>
<interface> ip ospf authentication,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
area <address> virtual-link <address> authentication-key,set area <area_id> interface <interface_name> authentication md5 <key-id> key <value>
area <address> virtual-link <address>,set area <area_id> virtual-link neighbor-id <neighbor-id> transit-area <transit-area>
